code,symbol,name,h_jun,l_jul,mid_line,h_aug18,break_diff,break_pct
600250,sh600250,南京商旅,8.37,8.0,8.185,8.35,0.165,2.02
688365,sh688365,光云科技,6.25,5.5,5.875,5.99,0.115,1.96
601106,sh601106,中国一重,2.33,2.38,2.355,2.4,0.045,1.91
000809,sz000809,和展能源,2.13,2.09,2.11,2.15,0.04,1.9
601069,sh601069,西部黄金,11.544,11.294,11.419,11.634,0.215,1.88
600300,sh600300,维维股份,2.218,2.118,2.168,2.208,0.04,1.85
600714,sh600714,金瑞矿业,7.16,6.96,7.06,7.19,0.13,1.84
600986,sh600986,浙文互联,4.23,3.98,4.105,4.18,0.075,1.83
600071,sh600071,凤凰光学,16.58,15.18,15.88,16.17,0.29,1.83
600758,sh600758,辽宁能源,2.848,2.688,2.768,2.818,0.05,1.81
600338,sh600338,西藏珠峰,9.385,8.835,9.11,9.275,0.165,1.81
600860,sh600860,京城股份,8.2,8.13,8.165,8.31,0.145,1.78
000042,sz000042,中洲控股,4.05,3.85,3.95,4.02,0.07,1.77
688176,sh688176,亚虹医药,5.28,4.9,5.09,5.18,0.09,1.77
603385,sh603385,惠达卫浴,5.49,5.28,5.385,5.48,0.095,1.76
600135,sh600135,乐凯胶片,4.98,4.85,4.915,5.0,0.085,1.73
600433,sh600433,冠豪高新,2.63,2.68,2.655,2.7,0.045,1.69
600149,sh600149,廊坊发展,3.29,3.22,3.255,3.31,0.055,1.69
603169,sh603169,兰石重装,4.58,4.41,4.495,4.57,0.075,1.67
601068,sh601068,中铝国际,4.27,4.11,4.19,4.26,0.07,1.67
600110,sh600110,诺德股份,3.14,3.06,3.1,3.15,0.05,1.61
600284,sh600284,浦东建设,4.973,5.133,5.053,5.133,0.08,1.58
688393,sh688393,安必平,15.71,14.07,14.89,15.12,0.23,1.54
603160,sh603160,汇顶科技,69.178,59.258,64.218,65.208,0.99,1.54
603616,sh603616,韩建河山,3.06,2.83,2.945,2.99,0.045,1.53
600855,sh600855,航天长峰,10.5,9.38,9.94,10.09,0.15,1.51
688326,sh688326,经纬恒润,59.22,63.02,61.12,62.02,0.9,1.47
000795,sz000795,英洛华,5.265,5.155,5.21,5.285,0.075,1.44
688221,sh688221,前沿生物,5.73,5.0,5.365,5.44,0.075,1.4
600391,sh600391,航发科技,15.41,15.5,15.455,15.66,0.205,1.33
600660,sh600660,福耀玻璃,44.1,40.22,42.16,42.72,0.56,1.33
000789,sz000789,万年青,4.345,4.215,4.28,4.335,0.055,1.29
600963,sh600963,岳阳林纸,3.74,3.29,3.515,3.56,0.045,1.28
688249,sh688249,晶合集成,14.903,14.673,14.788,14.973,0.185,1.25
601066,sh601066,中信建投,19.39,18.34,18.865,19.09,0.225,1.19
601003,sh601003,柳钢股份,2.47,2.59,2.53,2.56,0.03,1.19
688419,sh688419,耐科装备,21.273,18.33,19.801,20.027,0.226,1.14
688418,sh688418,震有科技,17.59,15.88,16.735,16.92,0.185,1.11
688203,sh688203,海正生材,8.52,7.86,8.19,8.28,0.09,1.1
601933,sh601933,永辉超市,2.55,2.18,2.365,2.39,0.025,1.06
601008,sh601008,连云港,3.36,3.45,3.405,3.44,0.035,1.03
688216,sh688216,气派科技,18.35,16.65,17.5,17.67,0.17,0.97
600198,sh600198,大唐电信,5.25,5.11,5.18,5.23,0.05,0.97
603813,sh603813,原尚股份,9.75,9.27,9.51,9.6,0.09,0.95
601579,sh601579,会稽山,9.708,9.098,9.403,9.488,0.085,0.9
600208,sh600208,衢州发展,1.76,1.63,1.695,1.71,0.015,0.88
600307,sh600307,酒钢宏兴,1.19,1.17,1.18,1.19,0.01,0.85
688078,sh688078,龙软科技,23.454,20.794,22.124,22.304,0.18,0.81
600121,sh600121,郑州煤电,3.28,3.05,3.165,3.19,0.025,0.79
600403,sh600403,大有能源,2.65,2.39,2.52,2.54,0.02,0.79
600081,sh600081,XD东风科,8.696,8.666,8.681,8.746,0.065,0.75
600877,sh600877,电科芯片,10.96,10.78,10.87,10.95,0.08,0.74
000803,sz000803,山高环能,3.55,3.28,3.415,3.44,0.025,0.73
