排名,策略名称,综合评分,策略收益,策略年化收益,超额收益,基准收益,阿尔法,贝塔,夏普比率,胜率,盈亏比,最大回撤,索提诺比率,日均超额收益,超额收益最大回撤,超额收益夏普比率,日胜率,盈利次数,亏损次数,信息比率,策略波动率,基准波动率,最大回撤区间
1,七星V1.7.8,93.67,13.291152090300002,1.873161354529234,4.3179643026251195,1.687335092348285,1.7874642634852835,0.10377335672462616,5.32152483378636,0.5761904761904761,3.119492626297175,0.11967930469882504,9.971491781134901,0.0032236198099811868,0.6390642007406981,1.66914398286849,0.5111111111111111,121,89,2.6111962939164037,0.3444804659917197,0.45747392606764903,2026-06-03 ~ 2026-07-06
2,七星V1.7.5,87.36,10.442414577500017,1.6305508295088473,7.349633527234783,0.37040919702370356,1.5516210671098065,0.4177119003454704,4.635192205623057,0.5561497326203209,3.508626365781566,0.15148854578706727,8.270525256749071,0.0036175693477736573,0.14641388875065897,3.6385797709980285,0.5301587301587302,104,83,4.260025176685678,0.34314668280191574,0.18764880990250815,2024-05-20 ~ 2024-08-30
3,七星V1.7.2,82.03,12.81403393379997,1.8347067787958729,9.360472776118717,0.3333401122043247,1.7319502626132084,0.7754110926892147,4.4597997707300765,0.5315315315315315,2.356239046633592,0.1845740553181825,7.594018434139198,0.004006334174956833,0.19766621646376903,3.886667718087124,0.5365079365079365,118,104,4.478609600725196,0.4024186894162014,0.1678250236778605,2026-07-23 ~ 2026-08-07
